sett,task,time
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_mal,8
4,hyp_is_mal,8
4,hyp_is_mal,8
4,hyp_is_mal,8
4,hyp_is_mal,8
4,hyp_is_mal,8
4,hyp_is_mal,8
4,hyp_is_mal,8
4,hyp_is_mal,8
4,hyp_is_mal,8
4,hyp_is_mal,8
4,hyp_is_mal,8
4,hyp_is_mal,8
4,hyp_is_mal,8
4,hyp_is_mal,8
4,hyp_is_mal,8
4,hyp_is_mal,8
4,hyp_is_mal,8
4,hyp_is_mal,8
4,hyp_is_mal,6
4,hyp_is_mal,6
4,hyp_is_mal,6
4,hyp_is_mal,6
4,hyp_is_mal,6
4,hyp_is_mal,6
4,hyp_is_mal,6
4,hyp_is_mal,6
4,hyp_botnet_member,7
4,hyp_botnet_member,7
4,hyp_botnet_member,7
4,hyp_botnet_member,7
4,hyp_botnet_member,7
4,hyp_botnet_member,7
4,hyp_botnet_member,7
4,hyp_botnet_member,7
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
4,hyp_is_resp,0
