setting,fnA_prec,fnA_rec,fnA_f1,fnB_prec,fnB_rec,fnB_f1,fnC_prec,fnC_rec,fnC_f1,resp_prec,resp_rec,resp_f1,mal_prec,mal_rec,mal_f1,memb_prec,memb_rec,memb_f1
1,0.3045598845598846,0.19563034188034187,0.23045942478436993,0.20791330362356647,0.33773504273504273,0.2512760131424797,0.31976190476190475,0.13490231990231988,0.1869121325297796,0.2577901265401265,0.15431892508354278,0.2723481167106557,0.3364416221033868,0.25356159420289853,0.3603315908952889,0.15743525480367584,0.14084360084360087,0.16294759054340938
2,0.302985347985348,0.20883020488283646,0.26549804403497146,0.2062140408037604,0.31508097165991905,0.24510869488495465,0.3678571428571428,0.15299595141700406,0.2624894781144781,0.3174028749028749,0.12989364205039217,0.22656138439150214,0.45392604979561507,0.2185725905955461,0.2918373186200097,0.3454082454601666,0.24547275827326978,0.3800500945868363
3,0.271593137254902,0.173239975710564,0.22948420281753615,0.23555833770663112,0.3283847222608832,0.2687836344845466,0.2834432234432235,0.12183559371485068,0.20771802694209812,0.21589647194910352,0.11806104445390345,0.21627956053612327,0.3046432552954292,0.23453941720548938,0.32598594283939114,0.283465250965251,0.26798140131473464,0.33577751983645754
4,0.38769950637597694,0.175452056095144,0.23716323897970173,0.27030625843301165,0.32400731363579666,0.29313771209113815,0.46960317460317463,0.1546122075379041,0.22797834992332144,0.3473197364229973,0.08432319256288848,0.14818531240557428,0.5369408369408369,0.24284962813038086,0.327817631692494,0.6053077357425184,0.28756715395626636,0.3203004545365609
5,0.17252969252969252,0.11705738705738704,0.13761465290394204,0.17606639135826158,0.3177472527472528,0.22537011435682533,0.17921717171717172,0.09650793650793651,0.1534829552492596,0.1441186299081036,0.07793358815097946,0.25152571199893287,0.21479978354978355,0.13264132003262438,0.32659307615040273,0.010101010101010102,0.08333333333333333,0.15384615384615385
6,0.3296230158730159,0.19106622136033902,0.22787500427538304,0.20839023863368739,0.3024405659699777,0.23863890445696598,0.3951190476190476,0.13868526897938666,0.1967085189529664,0.34169478182636076,0.12448097328478328,0.24940903921849283,0.37053038121149573,0.14854144726505403,0.2921781242839882,0.17231206293706294,0.12008658008658009,0.2517500026778924
7,0.32182983682983685,0.1591486053543531,0.22490009147464735,0.22503543938898626,0.2932593158961109,0.2510032247874118,0.37091269841269836,0.11348043294705024,0.18483184333759048,0.2378205128205128,0.11844207571251544,0.25525308040408434,0.35065656565656567,0.2271062410764928,0.3877968002943574,0.0029239766081871343,0.0625,0.05
8,0.3514718614718615,0.21308006074630118,0.2634931103490941,0.2416470054446461,0.33019533571004156,0.2782509495899262,0.32968253968253963,0.14494991936168408,0.22166806401439085,0.41546819021819026,0.15929783292180652,0.22720970980750582,0.48224969474969476,0.24946755141735433,0.32584549471355306,0.10634743974657952,0.12080808080808081,0.17341510452827275
9,0.4787878787878787,0.15981577985885428,0.2617472119658527,0.2187948539099434,0.288654268343493,0.2450667101633813,0.4787878787878787,0.15981577985885428,0.2617472119658527,0.16599567099567097,0.07341666666666666,0.16438516680452164,0.2161111111111111,0.09846988795518208,0.1918470164465588,0.5238095238095238,0.10856879606879608,0.33927249221366873
10,0.4145887445887446,0.18330763354292767,0.2764903755228832,0.20744787157287153,0.31138010029186497,0.24573062905600906,0.4145887445887446,0.18330763354292767,0.2764903755228832,0.2713932022084196,0.08887573188420646,0.1851542870890365,0.4267243867243867,0.12199655762294803,0.23394617055326028,0.6755681818181818,0.20489947151959537,0.4420567489921053
