setting,run,query_time,time_sim,fnA,fnA_prec,fnA_rec,fnB_prec,fnB_rec,fnC_prec,fnC_rec,fnA_tp,fnA_fp,fnA_tn,fnA_fn,fnB_tp,fnB_fp,fnB_tn,fnB_fn,fnC_tp,fnC_fp,fnC_tn,fnC_fn,resp,resp_prec,resp_rec,resp_tp,resp_fp,resp_tn,resp_fn,mal,mal_prec,mal_rec,mal_tp,mal_fp,mal_tn,mal_fn,memb,memb_prec,memb_rec,memb_tp,memb_fp,memb_tn,memb_fn
1,1,0:00:08.120142,0,1,,,,,,,0,1,10,0,0,2,9,0,0,1,10,0,1,,,0,1,14,0,1,,,0,1,8,6,0,,,0,0,224,1
1,1,0:00:08.078938,1,0,,,,,,,0,0,6,0,0,0,6,0,0,0,6,0,0,,,0,0,11,0,0,,,0,0,4,5,0,,,0,0,116,1
1,1,0:00:08.155421,2,1,,,,,,,0,1,3,0,0,2,2,0,0,1,3,0,1,,,0,1,15,0,1,,,0,1,10,2,0,,,0,0,247,0
1,1,0:00:08.428136,3,0,,,,,,,0,0,6,1,0,1,5,1,0,0,6,1,0,,,0,0,23,1,0,,,0,0,14,0,0,,,0,0,654,0
1,1,0:00:08.357389,4,0,,,,,,,0,0,4,0,0,0,4,0,0,0,4,0,0,,,0,0,25,0,0,,,0,0,18,0,0,,,0,0,824,0
1,1,0:00:08.291661,5,0,,,,,,,0,0,6,0,0,0,6,0,0,0,6,0,0,,,0,0,23,0,0,,,0,0,16,0,0,,,0,0,720,0
1,1,0:00:08.395810,6,1,,,,,,,1,0,7,1,1,1,6,1,1,0,7,1,1,,,0,1,17,0,1,,,0,1,6,0,0,,,0,0,755,0
1,1,0:00:08.412663,7,5,,,,,,,0,5,9,2,1,3,7,1,0,0,10,2,5,,,0,5,32,1,5,,,2,3,15,0,2,,,0,2,1657,0
1,1,0:00:08.943077,8,0,,,,,,,0,0,5,1,0,0,5,1,0,0,5,1,0,,,0,0,27,0,0,,,0,0,7,0,0,,,0,0,921,0
1,1,0:00:09.783255,9,0,,,,,,,0,0,4,1,0,0,4,1,0,0,4,1,0,,,0,0,20,4,0,,,0,0,6,0,0,,,0,0,978,0
1,1,0:00:10.038011,10,2,,,,,,,0,2,6,1,0,2,6,1,0,2,6,1,2,,,0,2,19,1,0,,,0,0,5,0,0,,,0,0,1103,0
1,1,0:00:10.399631,11,1,,,,,,,1,0,5,1,1,1,4,1,0,0,5,2,0,,,0,0,17,0,2,,,0,2,1,0,12,,,0,12,1187,0
1,1,0:00:09.546464,12,1,,,,,,,1,0,5,0,1,1,4,0,0,0,5,1,1,,,0,1,13,5,1,,,0,1,3,0,6,,,0,6,749,0
1,1,0:00:10.358264,13,2,,,,,,,0,2,5,2,1,2,5,1,0,2,5,2,7,,,5,2,17,1,5,,,5,0,3,0,0,,,0,0,779,2
1,1,0:00:12.883533,14,0,0.21428571428571427,0.2,0.25,0.3333333333333333,0.14285714285714285,0.06666666666666667,0,0,6,2,0,0,6,2,0,0,6,2,0,0.2777777777777778,0.21739130434782608,0,0,13,5,1,0.4117647058823529,0.35,0,1,0,0,26,0.0,0.0,0,26,786,0
1,2,0:00:09.319904,0,0,,,,,,,0,0,8,1,0,3,5,1,0,0,8,1,0,,,0,0,16,0,0,,,0,0,7,9,0,,,0,0,247,9
1,2,0:00:09.041136,1,1,,,,,,,0,1,4,0,0,2,3,0,0,1,4,0,2,,,0,2,9,0,2,,,2,0,2,2,2,,,2,0,82,1
1,2,0:00:08.150097,2,0,,,,,,,0,0,6,0,0,0,6,0,0,0,6,0,0,,,0,0,23,0,0,,,0,0,16,0,0,,,0,0,492,0
1,2,0:00:08.930898,3,0,,,,,,,0,0,10,2,0,1,9,2,0,0,10,2,0,,,0,0,21,0,0,,,0,0,10,0,0,,,0,0,402,0
1,2,0:00:08.350643,4,1,,,,,,,0,1,6,1,1,1,6,0,0,1,6,1,1,,,0,1,19,3,0,,,0,0,12,1,0,,,0,0,573,0
1,2,0:00:07.055844,5,0,,,,,,,0,0,5,0,0,0,5,0,0,0,5,0,0,,,0,0,25,0,1,,,0,1,13,0,0,,,0,0,767,0
1,2,0:00:06.807475,6,1,,,,,,,0,1,4,0,0,1,4,0,0,1,4,0,1,,,0,1,23,0,0,,,0,0,11,0,0,,,0,0,631,0
1,2,0:00:07.237362,7,1,,,,,,,0,1,12,1,0,3,9,1,0,0,12,1,0,,,0,0,37,2,1,,,0,1,17,0,2,,,0,2,1869,0
1,2,0:00:07.499001,8,2,,,,,,,1,1,12,2,1,3,10,2,1,1,12,2,5,,,0,5,34,3,2,,,2,0,8,0,0,,,0,0,1876,4
1,2,0:00:07.208637,9,1,,,,,,,1,0,5,2,1,0,5,2,1,0,5,2,1,,,0,1,20,5,2,,,0,2,6,0,10,,,10,0,858,0
